Author	Consortium	PMID	Date	Trait	EFO	Analysis	Source	Outcome	Exposure	Covariates	Outcome_Unit	Exposure_Unit	Array	Tissue	Further_Details	N	N_Studies	Categories	Age	N_Males	N_Females	N_EUR	N_EAS	N_SAS	N_AFR	N_AMR	N_OTH	CpG	Location	Chr	Pos	Gene	Type	Beta	SE	P	Details
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg13189271	chr6:15365693	6	15365693	JARID2	Open sea	2.43123	0.12689	5.74e-33	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg18832247	chr6:15300007	6	15300007	JARID2	Open sea	-1.80358	0.09486	9.84e-33	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg16990557	chr6:17725431	6	17725431	-	Open sea	-1.46014	0.07691	1.1e-32	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg14023451	chr6:24489887	6	24489887	GPLD1	Open sea	1.74548	0.0922	1.33e-32	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg12230983	chr6:15439701	6	15439701	JARID2	Open sea	-1.9304	0.10224	1.61e-32	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg11228682	chr6:16320530	6	16320530	ATXN1	Open sea	-1.78276	0.09514	2.74e-32	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg03068319	chr6:17600252	6	17600252	FAM8A1	North shore	1.8365	0.09811	2.95e-32	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg06811300	chr6:16504474	6	16504474	ATXN1	Open sea	-1.87669	0.10278	1.66e-31	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg03425782	chr6:19181082	6	19181082	-	Open sea	2.2203	0.12236	2.56e-31	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg17340729	chr6:16850308	6	16850308	-	Open sea	-1.72545	0.09546	3.34e-31	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg07278165	chr6:16948028	6	16948028	-	Open sea	1.67175	0.0932	5.65e-31	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg07914200	chr6:22699463	6	22699463	-	Open sea	-1.65478	0.0937	1.64e-30	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg12624523	chr6:24489770	6	24489770	GPLD1	Open sea	2.01186	0.11491	2.97e-30	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg02346062	chr6:24491168	6	24491168	GPLD1	North shelf	1.78482	0.10277	5.13e-30	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg01426125	chr6:17817690	6	17817690	KIF13A	Open sea	1.85666	0.10731	6.61e-30	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg06573088	chr6:17492721	6	17492721	CAP2	Open sea	1.88582	0.11234	5.04e-29	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg10693635	chr6:16215614	6	16215614	-	Open sea	-1.63269	0.10173	9.79e-28	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg03960072	chr6:24357985	6	24357985	KAAG1;DCDC2	Island	-1.47315	0.09229	1.39e-27	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg15753394	chr6:17282781	6	17282781	RBM24	South shore	-1.60017	0.10063	1.79e-27	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg05675514	chr6:22026015	6	22026015	FLJ22536	Open sea	-1.62424	0.10353	4.27e-27	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg07036412	chr6:24360391	6	24360391	-	Island	-2.17542	0.1387	4.35e-27	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg17770034	chr6:22249139	6	22249139	-	Open sea	1.6537	0.10557	4.7e-27	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg00464814	chr6:16758889	6	16758889	ATXN1	North shore	1.42929	0.09419	3.61e-26	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg10126181	chr6:21832051	6	21832051	FLJ22536	Open sea	-1.50607	0.10106	1.12e-25	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg19917254	chr6:15998909	6	15998909	-	Open sea	1.29657	0.08711	1.22e-25	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg09248660	chr6:24969848	6	24969848	-	Open sea	-1.26624	0.08755	7.23e-25	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg18691800	chr6:17281015	6	17281015	RBM24	Island	-2.91409	0.20233	9.4e-25	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg13699887	chr6:16320488	6	16320488	ATXN1	Open sea	-1.91716	0.13493	2.16e-24	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg26817755	chr6:19812885	6	19812885	-	Open sea	1.21136	0.08662	5.68e-24	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg13995516	chr6:21598595	6	21598595	SOX4	South shore	-1.33628	0.09573	6.35e-24	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg08751913	chr6:18387077	6	18387077	RNF144B	North shore	1.52919	0.11635	2.25e-22	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg19516754	chr6:16965070	6	16965070	-	Open sea	1.58756	0.13247	4.12e-20	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg06480265	chr6:24722060	6	24722060	-	South shore	1.49084	0.12476	4.8e-20	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg13329912	chr6:16215786	6	16215786	-	Open sea	-1.17215	0.10133	2.76e-19	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg06924459	chr6:17102643	6	17102643	-	South shore	-1.51994	0.13152	2.9e-19	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg25597625	chr6:24583496	6	24583496	KIAA0319	Open sea	1.73723	0.15111	3.82e-19	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg20365336	chr6:16986186	6	16986186	-	Open sea	1.56532	0.1475	2.3e-17	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg12213680	chr6:24877462	6	24877462	FAM65B	Open sea	1.27085	0.12773	5.12e-16	-
Bonder MJ	-	25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513	-	Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values	-	Illumina HumanMethylation450	Liver	-	195	2	14 fetal samples, 181 adult samples	-	-	-	-	-	-	-	-	-	cg04359753	chr6:19839767	6	19839767	ID4	South shore	-1.23989	0.12814	1.86e-15	-
Braun KVE	-	28194238	2016-06-16	High-density lipoprotein cholesterol	EFO_0004612, CHEBI_47775	Discovery and replication	Table S1	DNA methylation	High-density lipoprotein cholesterol	Age, sex, smoking, cell counts and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	1485	2	-	64	660	825	-	-	-	-	-	-	cg26405097	chr6:15428301	6	15428301	JARID2	Open sea	-0.0157	0.0026	1.88e-09	-
Braun KVE	-	28194238	2016-06-16	High-density lipoprotein cholesterol	EFO_0004612, CHEBI_47775	Discovery and replication	Table S1	DNA methylation	High-density lipoprotein cholesterol	Age, sex, smoking, cell counts and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	1485	2	-	64	660	825	-	-	-	-	-	-	cg20605134	chr6:15400462	6	15400462	JARID2	Open sea	-0.0104	0.0019	8.01e-08	-
Chatziioannou A	EnviroGenomarkers project consortium	28225026	2017-02-22	Tobacco smoking	EFO_0006527, EFO_0005671, EFO_0004318	-	Table S2	DNA methylation	Current vs never smoking	Age, sex, body mass index, study centre and cell counts	M values	-	Illumina HumanMethylation450	Whole blood	-	454	2	143 current smokers, 311 never smokers	52	134	320	-	-	-	-	-	-	cg00464814	chr6:16758889	6	16758889	ATXN1	North shore	-	-	3.46e-06	-
Chatziioannou A	EnviroGenomarkers project consortium	28225026	2017-02-22	Tobacco smoking	EFO_0006527, EFO_0005671, EFO_0004318	-	Table S2	DNA methylation	Current vs never smoking	Age, sex, body mass index, study centre and cell counts	M values	-	Illumina HumanMethylation450	Whole blood	-	454	2	143 current smokers, 311 never smokers	52	134	320	-	-	-	-	-	-	cg18691800	chr6:17281015	6	17281015	RBM24	Island	-	-	6.18e-05	-
Chen W	-	28069425	2017-01-06	Total serum IgE	EFO_0004579	Puerto Ricans only	Table E7	Total serum IgE	DNA methylation	Age, sex, asthma and technical covariates	IU/ml	Beta values	Illumina HumanMethylation450	Whole blood	Total serum IgE was log10 transformed	525	2	-	12	275	250	309	-	-	114	-	102	cg20405742	chr6:16933816	6	16933816	-	Open sea	-6.4	0.7894	5.15e-16	-
Chung SA	-	26192630	2015-07-20	Autoantibody production in systemic lupus erythematosus	EFO_0004866, EFO_0002690	Combined	Table S1	DNA methylation	Autoantibody production in systemic lupus erythematosus	Age, disease duration, cell counts and technical covariates	Beta values	-	Illumina HumanMethylation450	Peripheral blood	Wilcoxon rank sum test	326	2	156 anti-dsDNA positive SLE cases, 170 anti-dsDNA negative SLE cases	46	-	326	326	-	-	-	-	-	cg00895196	chr6:22147182	6	22147182	FLJ22536	Open sea	-	-	2.6e-08	-
Demerath EW	-	25935004	2015-08-01	Waist circumference	EFO_0004342	Discovery	Table S5	DNA methylation	Waist circumference	Age, sex, smoking, study centre, alcohol consumption, education, household income, physical activity, cell counts and technical covariates	Beta values	cm	Illumina HumanMethylation450	Leukocytes	Regression coefficient per 1 SD of waist circumference	2097	1	-	56.2	763	1334	-	-	-	2097	-	-	cg24776142	chr6:16513829	6	16513829	ATXN1	Open sea	0.0067	0.0011	4.25e-09	-
Demerath EW	-	25935004	2015-08-01	Waist circumference	EFO_0004342	Discovery	Table S5	DNA methylation	Waist circumference	Age, sex, smoking, study centre, alcohol consumption, education, household income, physical activity, cell counts and technical covariates	Beta values	cm	Illumina HumanMethylation450	Leukocytes	Regression coefficient per 1 SD of waist circumference	2097	1	-	56.2	763	1334	-	-	-	2097	-	-	cg26405097	chr6:15428301	6	15428301	JARID2	Open sea	0.0059	0.001	1.68e-08	-
Demerath EW	-	25935004	2015-08-01	Body mass index	EFO_0004340	Discovery	Table S4	DNA methylation	Body mass index	Age, sex, smoking, study centre, alcohol consumption, education, household income, physical activity, cell counts and technical covariates	Beta values	kg/m2	Illumina HumanMethylation450	Leukocytes	Regression coefficient per 1 SD of body mass index	2096	1	-	56.2	763	1333	-	-	-	2096	-	-	cg24776142	chr6:16513829	6	16513829	ATXN1	Open sea	0.0064	0.0012	3.25e-08	-
Florath I	-	26433941	2016-01-01	Type II diabetes	EFO_0001360	Discovery	Table 2	DNA methylation	Type II diabetes	Age, sex, smoking, body mass index and technical covariates	Beta values	-	Illumina HumanMethylation450	Whole blood	-	988	1	153 type II diabetes cases, 835 controls	63	497	491	988	-	-	-	-	-	cg19130313	chr6:21078941	6	21078941	CDKAL1	Open sea	0.005	0.0011	2.6e-06	-
Florath I	-	26433941	2016-01-01	Type II diabetes	EFO_0001360	Discovery adjusted for leucocyte composition	Table 2	DNA methylation	Type II diabetes	Age, sex, smoking, body mass index, leucocyte composition and technical covariates	Beta values	-	Illumina HumanMethylation450	Whole blood	-	988	1	153 type II diabetes cases, 835 controls	63	497	491	988	-	-	-	-	-	cg19130313	chr6:21078941	6	21078941	CDKAL1	Open sea	0.004	9e-04	1.4e-05	-
Gervin K	-	28785368	2017-08-02	Attention deficit hyperactivity disorder	EFO_0003888	Long-term prenatal exposure to paracetamol versus sporadic prenatal exposure to paracetamol	Table S2	DNA methylation	Long-term prenatal exposure to paracetamol in children with ADHD versus sporadic prenatal exposure to paracetamol in children with ADHD	Sex, smoking, maternal age, gestational age, cell counts and technical covariates	M values	-	Illumina HumanMethylation450	Cord blood	-	96	1	19 long-term prenatal exposure to paracetamol in children with ADHD, 77 sporadic prenatal exposure to paracetamol in children with ADHD	0	71	25	96	-	-	-	-	-	cg11376457	chr6:17968022	6	17968022	KIF13A	Open sea	-	-	8.3e-06	-
Gervin K	-	28785368	2017-08-02	Attention deficit hyperactivity disorder	EFO_0003888	Long-term prenatal exposure to paracetamol versus sporadic prenatal exposure to paracetamol	Table S2	DNA methylation	Long-term prenatal exposure to paracetamol in children with ADHD versus sporadic prenatal exposure to paracetamol in children with ADHD	Sex, smoking, maternal age, gestational age, cell counts and technical covariates	M values	-	Illumina HumanMethylation450	Cord blood	-	96	1	19 long-term prenatal exposure to paracetamol in children with ADHD, 77 sporadic prenatal exposure to paracetamol in children with ADHD	0	71	25	96	-	-	-	-	-	cg07380322	chr6:21099548	6	21099548	CDKAL1	Open sea	-	-	2.33e-05	-
Gervin K	-	28785368	2017-08-02	Attention deficit hyperactivity disorder	EFO_0003888	Long-term prenatal exposure to paracetamol versus sporadic prenatal exposure to paracetamol	Table S2	DNA methylation	Long-term prenatal exposure to paracetamol in children with ADHD versus sporadic prenatal exposure to paracetamol in children with ADHD	Sex, smoking, maternal age, gestational age, cell counts and technical covariates	M values	-	Illumina HumanMethylation450	Cord blood	-	96	1	19 long-term prenatal exposure to paracetamol in children with ADHD, 77 sporadic prenatal exposure to paracetamol in children with ADHD	0	71	25	96	-	-	-	-	-	cg11649040	chr6:24403712	6	24403712	MRS2	South shore	-	-	8.26e-05	-
Gervin K	-	28785368	2017-08-02	Attention deficit hyperactivity disorder	EFO_0003888	Long-term prenatal exposure to paracetamol versus controls	Table S1	DNA methylation	Long-term prenatal exposure to paracetamol in children with ADHD versus controls	Sex, smoking, maternal age, gestational age, cell counts and technical covariates	M values	-	Illumina HumanMethylation450	Cord blood	-	115	1	19 long-term prenatal exposure to paracetamol in children with ADHD, 96 controls	0	66	49	115	-	-	-	-	-	cg13063812	chr6:16129305	6	16129305	MYLIP	Island	-	-	8.65e-05	-
Gross AM	-	27105112	2016-04-21	HIV infection	EFO_0000764	Discovery	Table S2	DNA methylation	HIV infection	Age and cell counts	-	-	Illumina HumanMethylation450	Whole blood	-	181	1	137 HIV cases, 44 controls	46.5	181	-	181	-	-	-	-	-	cg12565215	chr6:21602408	6	21602408	-	Open sea	-3.022436	0.3398	5.91e-19	-
Gross AM	-	27105112	2016-04-21	HIV infection	EFO_0000764	Discovery	Table S2	DNA methylation	HIV infection	Age and cell counts	-	-	Illumina HumanMethylation450	Whole blood	-	181	1	137 HIV cases, 44 controls	46.5	181	-	181	-	-	-	-	-	cg02685945	chr6:22570146	6	22570146	HDGFL1	Island	-4.830838	0.5432	5.96e-19	-
Gross AM	-	27105112	2016-04-21	HIV infection	EFO_0000764	Discovery	Table S2	DNA methylation	HIV infection	Age and cell counts	-	-	Illumina HumanMethylation450	Whole blood	-	181	1	137 HIV cases, 44 controls	46.5	181	-	181	-	-	-	-	-	cg22997906	chr6:17556830	6	17556830	CAP2	Open sea	-4.099841	0.4757	6.83e-18	-
Gross AM	-	27105112	2016-04-21	HIV infection	EFO_0000764	Discovery	Table S2	DNA methylation	HIV infection	Age and cell counts	-	-	Illumina HumanMethylation450	Whole blood	-	181	1	137 HIV cases, 44 controls	46.5	181	-	181	-	-	-	-	-	cg21311736	chr6:16126437	6	16126437	-	North shelf	-2.812558	0.3447	3.34e-16	-
Gross AM	-	27105112	2016-04-21	HIV infection	EFO_0000764	Discovery	Table S2	DNA methylation	HIV infection	Age and cell counts	-	-	Illumina HumanMethylation450	Whole blood	-	181	1	137 HIV cases, 44 controls	46.5	181	-	181	-	-	-	-	-	cg02652321	chr6:16267220	6	16267220	GMPR	Open sea	-3.606723	0.4422	3.44e-16	-
Gross AM	-	27105112	2016-04-21	HIV infection	EFO_0000764	Discovery	Table S2	DNA methylation	HIV infection	Age and cell counts	-	-	Illumina HumanMethylation450	Whole blood	-	181	1	137 HIV cases, 44 controls	46.5	181	-	181	-	-	-	-	-	cg24733093	chr6:22644133	6	22644133	-	Open sea	-3.111124	0.3974	4.96e-15	-
Gross AM	-	27105112	2016-04-21	HIV infection	EFO_0000764	Discovery	Table S2	DNA methylation	HIV infection	Age and cell counts	-	-	Illumina HumanMethylation450	Whole blood	-	181	1	137 HIV cases, 44 controls	46.5	181	-	181	-	-	-	-	-	cg27043531	chr6:21965934	6	21965934	FLJ22536	Open sea	-2.712617	0.3498	8.83e-15	-
Gross AM	-	27105112	2016-04-21	HIV infection	EFO_0000764	Discovery	Table S2	DNA methylation	HIV infection	Age and cell counts	-	-	Illumina HumanMethylation450	Whole blood	-	181	1	137 HIV cases, 44 controls	46.5	181	-	181	-	-	-	-	-	cg20808234	chr6:19692082	6	19692082	-	Island	2.052265	0.2712	3.79e-14	-
Gross AM	-	27105112	2016-04-21	HIV infection	EFO_0000764	Discovery	Table S2	DNA methylation	HIV infection	Age and cell counts	-	-	Illumina HumanMethylation450	Whole blood	-	181	1	137 HIV cases, 44 controls	46.5	181	-	181	-	-	-	-	-	cg09535605	chr6:17281327	6	17281327	RBM24	Island	2.026254	0.2709	7.5e-14	-
Gross AM	-	27105112	2016-04-21	HIV infection	EFO_0000764	Discovery	Table S2	DNA methylation	HIV infection	Age and cell counts	-	-	Illumina HumanMethylation450	Whole blood	-	181	1	137 HIV cases, 44 controls	46.5	181	-	181	-	-	-	-	-	cg10581503	chr6:16347283	6	16347283	ATXN1	Open sea	-2.187445	0.2974	1.92e-13	-
Gross AM	-	27105112	2016-04-21	HIV infection	EFO_0000764	Discovery	Table S2	DNA methylation	HIV infection	Age and cell counts	-	-	Illumina HumanMethylation450	Whole blood	-	181	1	137 HIV cases, 44 controls	46.5	181	-	181	-	-	-	-	-	cg25420132	chr6:21762391	6	21762391	FLJ22536	Open sea	-2.863882	0.3937	3.47e-13	-
Gross AM	-	27105112	2016-04-21	HIV infection	EFO_0000764	Discovery	Table S2	DNA methylation	HIV infection	Age and cell counts	-	-	Illumina HumanMethylation450	Whole blood	-	181	1	137 HIV cases, 44 controls	46.5	181	-	181	-	-	-	-	-	cg03893030	chr6:15727374	6	15727374	-	Open sea	-3.187189	0.4399	4.32e-13	-
Gross AM	-	27105112	2016-04-21	HIV infection	EFO_0000764	Discovery	Table S2	DNA methylation	HIV infection	Age and cell counts	-	-	Illumina HumanMethylation450	Whole blood	-	181	1	137 HIV cases, 44 controls	46.5	181	-	181	-	-	-	-	-	cg17934798	chr6:21111090	6	21111090	CDKAL1	Open sea	-1.947936	0.2708	6.34e-13	-
Gross AM	-	27105112	2016-04-21	HIV infection	EFO_0000764	Discovery	Table S2	DNA methylation	HIV infection	Age and cell counts	-	-	Illumina HumanMethylation450	Whole blood	-	181	1	137 HIV cases, 44 controls	46.5	181	-	181	-	-	-	-	-	cg18809821	chr6:24403225	6	24403225	MRS2	Island	2.658929	0.3709	7.53e-13	-
